date,product,category,quantity,unit_price,region,salesperson
2024-01-05,Laptop Pro 15,Electronics,2,1299.99,North,Alice
2024-01-12,USB-C Hub,Accessories,15,34.99,South,Bob
2024-01-18,Cloud Suite License,Software,5,199.99,East,Carol
2024-01-25,Wireless Mouse,Accessories,20,24.99,West,Dave
2024-02-02,Laptop Pro 15,Electronics,3,1299.99,East,Carol
2024-02-08,Security Audit,Services,1,4999.99,North,Alice
2024-02-15,Mechanical Keyboard,Accessories,12,79.99,South,Bob
2024-02-22,Cloud Suite License,Software,8,199.99,West,Dave
2024-03-01,Monitor 27in,Electronics,6,449.99,North,Alice
2024-03-10,USB-C Hub,Accessories,10,34.99,East,Carol
2024-03-18,Laptop Pro 15,Electronics,1,1299.99,South,Bob
2024-03-25,Wireless Mouse,Accessories,25,24.99,North,Dave
2024-04-03,Cloud Suite License,Software,10,199.99,South,Alice
2024-04-12,Security Audit,Services,2,4999.99,East,Bob
2024-04-20,Monitor 27in,Electronics,4,449.99,West,Carol
2024-04-28,Mechanical Keyboard,Accessories,8,79.99,North,Dave
2024-05-05,Laptop Pro 15,Electronics,5,1299.99,East,Alice
2024-05-14,USB-C Hub,Accessories,18,34.99,West,Bob
2024-05-22,Cloud Suite License,Software,3,199.99,North,Carol
2024-05-30,Wireless Mouse,Accessories,30,24.99,South,Dave
2024-06-07,Monitor 27in,Electronics,8,449.99,East,Alice
2024-06-15,Security Audit,Services,1,4999.99,South,Bob
2024-06-23,Mechanical Keyboard,Accessories,15,79.99,West,Carol
2024-06-30,Laptop Pro 15,Electronics,2,1299.99,North,Dave
2024-07-08,USB-C Hub,Accessories,12,34.99,South,Alice
2024-07-16,Cloud Suite License,Software,6,199.99,East,Bob
2024-07-24,Wireless Mouse,Accessories,22,24.99,West,Carol
2024-07-31,Monitor 27in,Electronics,3,449.99,North,Dave
2024-08-09,Laptop Pro 15,Electronics,4,1299.99,South,Alice
2024-08-17,Security Audit,Services,3,4999.99,West,Bob
2024-08-25,Mechanical Keyboard,Accessories,10,79.99,East,Carol
2024-08-31,USB-C Hub,Accessories,20,34.99,North,Dave
2024-09-06,Cloud Suite License,Software,12,199.99,South,Alice
2024-09-14,Wireless Mouse,Accessories,18,24.99,East,Bob
2024-09-22,Laptop Pro 15,Electronics,6,1299.99,West,Carol
2024-09-30,Monitor 27in,Electronics,5,449.99,South,Dave
2024-10-05,USB-C Hub,Accessories,14,34.99,North,Alice
2024-10-13,Mechanical Keyboard,Accessories,7,79.99,West,Bob
2024-10-21,Cloud Suite License,Software,4,199.99,East,Carol
2024-10-29,Security Audit,Services,2,4999.99,North,Dave
2024-11-04,Laptop Pro 15,Electronics,8,1299.99,East,Alice
2024-11-12,Wireless Mouse,Accessories,35,24.99,South,Bob
2024-11-20,Monitor 27in,Electronics,10,449.99,West,Carol
2024-11-28,USB-C Hub,Accessories,22,34.99,South,Dave
2024-12-05,Cloud Suite License,Software,15,199.99,North,Alice
2024-12-13,Mechanical Keyboard,Accessories,20,79.99,East,Bob
2024-12-21,Laptop Pro 15,Electronics,3,1299.99,West,Carol
2024-12-28,Security Audit,Services,1,4999.99,South,Dave
2024-01-08,Monitor 27in,Electronics,2,449.99,West,Bob
2024-02-14,Wireless Mouse,Accessories,16,24.99,East,Alice
2024-03-22,Cloud Suite License,Software,7,199.99,West,Dave
2024-04-15,USB-C Hub,Accessories,9,34.99,North,Carol
2024-05-10,Laptop Pro 15,Electronics,1,1299.99,South,Dave
2024-06-18,Mechanical Keyboard,Accessories,6,79.99,East,Alice
2024-07-20,Monitor 27in,Electronics,7,449.99,South,Bob
2024-08-12,Wireless Mouse,Accessories,14,24.99,North,Carol
2024-09-08,Security Audit,Services,1,4999.99,East,Dave
2024-10-16,Cloud Suite License,Software,9,199.99,South,Alice
2024-11-06,USB-C Hub,Accessories,16,34.99,West,Bob
2024-12-10,Laptop Pro 15,Electronics,4,1299.99,North,Carol
2024-01-30,Mechanical Keyboard,Accessories,5,79.99,West,Alice
2024-02-28,Monitor 27in,Electronics,3,449.99,South,Dave
2024-03-15,Wireless Mouse,Accessories,28,24.99,North,Bob
2024-04-22,Cloud Suite License,Software,6,199.99,West,Carol
2024-05-28,USB-C Hub,Accessories,11,34.99,East,Dave
2024-06-10,Laptop Pro 15,Electronics,2,1299.99,West,Alice
2024-07-05,Security Audit,Services,2,4999.99,North,Bob
2024-08-20,Mechanical Keyboard,Accessories,9,79.99,South,Carol
2024-09-18,Monitor 27in,Electronics,4,449.99,West,Dave
2024-10-08,Wireless Mouse,Accessories,19,24.99,South,Alice
2024-11-15,Cloud Suite License,Software,11,199.99,North,Bob
2024-12-02,USB-C Hub,Accessories,8,34.99,East,Carol
2024-01-20,Security Audit,Services,1,4999.99,West,Dave
2024-02-10,Laptop Pro 15,Electronics,2,1299.99,North,Carol
2024-03-28,Mechanical Keyboard,Accessories,13,79.99,South,Alice
2024-04-08,Wireless Mouse,Accessories,21,24.99,East,Bob
2024-05-18,Monitor 27in,Electronics,6,449.99,North,Dave
2024-06-25,Cloud Suite License,Software,4,199.99,South,Carol
2024-07-12,USB-C Hub,Accessories,17,34.99,West,Alice
2024-08-05,Laptop Pro 15,Electronics,3,1299.99,East,Bob
2024-09-12,Wireless Mouse,Accessories,15,24.99,West,Dave
2024-09-28,Mechanical Keyboard,Accessories,11,79.99,North,Carol
2024-10-25,Monitor 27in,Electronics,9,449.99,East,Alice
2024-11-22,Security Audit,Services,2,4999.99,West,Bob
2024-12-18,Cloud Suite License,Software,8,199.99,East,Dave
2024-01-15,Wireless Mouse,Accessories,10,24.99,South,Carol
2024-02-18,USB-C Hub,Accessories,13,34.99,West,Dave
2024-03-05,Laptop Pro 15,Electronics,1,1299.99,North,Alice
2024-04-18,Monitor 27in,Electronics,5,449.99,South,Bob
2024-05-25,Mechanical Keyboard,Accessories,8,79.99,West,Carol
2024-06-12,Cloud Suite License,Software,7,199.99,East,Dave
2024-07-28,Wireless Mouse,Accessories,26,24.99,North,Alice
2024-08-15,Security Audit,Services,1,4999.99,South,Carol
2024-09-05,USB-C Hub,Accessories,19,34.99,East,Bob
2024-10-20,Laptop Pro 15,Electronics,5,1299.99,West,Dave
2024-11-10,Monitor 27in,Electronics,7,449.99,North,Alice
2024-12-08,Mechanical Keyboard,Accessories,14,79.99,South,Bob
2024-12-30,Wireless Mouse,Accessories,32,24.99,East,Carol
